 Count  Overhead File                    Line Function
 19966         1 …s/ctmrg/sequential.jl    94 sequential_projectors
 20053         0 …s/ctmrg/sequential.jl    80 #422
 20057         0 …asks/src/internals.jl   115 (::OhMyThreads.Implementation.var…
 20057         0 …src/implementation.jl   110 #27
 20057         0 @Base/reducedim.jl       329 mapreduce
 20057         0 @Base/reducedim.jl       329 #mapreduce#926
 20057         0 @Base/reducedim.jl       337 _mapreduce_dim
 20057         0 @Base/reduce.jl          432 _mapreduce(f::OhMyThreads.Impleme…
 20057         0 @Base/reduce.jl          421 mapreduce_first
 20057         0 …src/implementation.jl   448 #132
 20057         0 …y/diffable_threads.jl    17 #15
 20072         0 @Base/array.jl           811 _collect(c::SubArray{Tuple{Int64,…
 20086         0 @Base/abstractarray.jl  3371 map
 20086         0 @Base/array.jl           720 collect_similar
 20086         0 @Base/generator.jl        48 iterate
 20113         0 @Gtk4/src/GLib/loop.jl    80 glib_main()
 20113         0 …4/src/GLib/signals.jl   211 g_sigatom(f::Any)
 20113     20110 @Gtk4/src/GLib/loop.jl    83 (::Gtk4.GLib.var"#237#238")()
 20141         0 …ompiler/chainrules.jl   271 #rrule_via_ad#59
 20142         0 …ompiler/chainrules.jl   259 rrule_via_ad
 20142         0 …ompiler/interface2.jl     ? _pullback(ctx::Zygote.Context{fal…
407802         0 @Base/task.jl            694 task_done_hook(t::Task)
407802         0 @Base/task.jl           1021 wait()
407802    407736 @Base/task.jl           1012 poptask(W::Base.IntrusiveLinkedLi…
Total snapshots: 653386. Utilization: 38% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
