hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.0,0.33,24,4,-2.0587781568678527,-0.9695199567366161 - 8.57926702540142e-16im,0.48375779905546495 + 2.463235137361573e-13im,NaN + NaN*im,2.1519548278759476e-5,0.008344656426650261
0.0,0.33,36,4,-2.0617671546822427,-0.04840443081480519 - 7.037213420998027e-14im,0.9999242678955599 - 7.898919392312207e-16im,NaN + NaN*im,1.2722148810444644e-11,0.0048037716039544
0.0,0.34,16,4,-2.0675610113206964,-0.0005050474288081226 + 5.988646390807698e-16im,-0.9999999568284823 + 2.0204417422675553e-15im,NaN + NaN*im,0.12332344112349852,0.026251715304436273
0.0,0.34,24,4,-2.0675610390082726,-0.0011805780977386816 - 3.1470576573946235e-14im,0.9999999259585862 + 2.782657939160703e-15im,NaN + NaN*im,0.00031874974023166373,0.010589696546725706
0.0,0.34,36,4,-2.0634969252116027,0.9628843429042474 - 1.4278196209239554e-16im,0.5759979544862309 - 7.361772657684789e-15im,NaN + NaN*im,2.0373316585227593e-6,0.00315511724469142
0.0,0.35,16,4,-2.072960155476476,-0.0012362843465171184 - 1.985814477239389e-16im,0.9999998783180539 + 8.998586202729262e-17im,NaN + NaN*im,4.287312722322959e-12,0.007677737967217945
0.0,0.35,24,4,-2.0729614568689314,0.0008139369490276224 + 5.6613171931347936e-15im,0.9999999654902336 - 4.562400449055892e-16im,NaN + NaN*im,0.09039550692437855,0.024234747858342856
0.0,0.35,36,4,-2.050770576986364,-0.10643197245168949 + 3.713721058900244e-15im,0.99703984566016 + 1.199088157571958e-15im,NaN + NaN*im,0.5016281097081998,0.012155139614591604
0.0,0.36,16,4,-2.082872929158697,-0.007824263122893322 + 7.247501317879496e-18im,0.9999951722469578 - 1.730303189087893e-15im,NaN + NaN*im,6.529320642879458e-14,0.014040247742962982
0.0,0.36,24,4,-2.0844025208167656,0.0035121013609506037 - 6.506779791166998e-14im,0.9999994804196873 - 1.8558792956124782e-16im,NaN + NaN*im,0.011297587967570811,0.01303772170830685
0.0,0.37,16,4,-2.09338550854139,-0.0019123921560203348 - 3.4417836985166857e-15im,0.9999998589209514 - 2.3601063883766714e-16im,NaN + NaN*im,0.023841520353582592,0.01028873357885913
0.0,0.37,24,4,-2.0920338230826814,-0.003444687445818697 - 1.8968354173553888e-17im,0.999999947468949 - 1.4406820105350325e-16im,NaN + NaN*im,0.17843613149647997,0.012524896883424253
0.0,0.37,36,4,-2.093386771990236,-0.0011604118794197613 - 4.18328063708549e-12im,0.9999999015434438 + 0.0im,NaN + NaN*im,0.12489573859969523,0.009048897707170947
0.0,0.38,16,4,-2.1030794229663226,-0.0006217521148438176 + 1.2804932231624123e-14im,0.9999999696724228 - 4.923594151333341e-16im,NaN + NaN*im,0.023193089499245995,0.027760020851298278
0.0,0.38,24,4,-2.102486999032754,0.005395176519522629 + 1.8642860947037576e-14im,-0.9999986338130792 + 2.736759307061584e-16im,NaN + NaN*im,0.04246996492079135,0.016778494650347104
0.0,0.38,36,4,-2.103078043894091,0.0011838526877604935 + 2.5268524806207392e-12im,0.9999998991632953 - 1.650075036542703e-15im,NaN + NaN*im,0.13021163500125985,0.01107392844852321
0.0,0.39,16,4,-2.113411587262642,0.001997076894552553 + 1.1954408196941774e-13im,0.9999998472694489 - 2.2313789192101583e-16im,NaN + NaN*im,0.013972563534627001,0.018757194306760094
0.0,0.39,24,4,-1.0525542415013514,-0.9980275529514376 + 4.6592501655327656e-17im,0.35874071442906585 - 4.863249538193588e-16im,NaN + NaN*im,0.9998603335975799,0.015164792274166488
0.0,0.39,36,4,-2.1134050725774727,-0.0018617855205370422 - 5.4126348943895366e-12im,0.9999998428930562 - 3.3597224149747997e-16im,NaN + NaN*im,0.06706816984769008,0.007743359233896114
0.0,0.41,16,4,-2.135731005053125,0.003075880057782279 - 1.1471580583093118e-13im,0.9999996419407631 - 1.3551004581766877e-16im,NaN + NaN*im,0.044909934755561855,0.03866765436236916
0.0,0.41,24,4,-2.135315143307136,0.0009497448260731066 - 1.8703887116124334e-17im,-0.999999959697872 + 8.144800669840042e-17im,NaN + NaN*im,0.0308179564477298,0.013132894638069452
