hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.34,0.5,36,4,-2.3081144227484547,0.4256355575456175,0.42563555757765714,0.19715124936699358 + 1.6270594515909733e-13im,0.9862436934312545 + 2.530013812535253e-16im
0.34,1.0,36,4,-3.1661189211670893,3.105930777496889e14,2.814749767106555e14,0.1261564288782713 + 2.1298210461623757e-15im,0.9925606940641333 - 1.5082978032634196e-16im
0.34,1.0,48,4,-3.166094553070926,9.007199254740988e14,7.505999378950821e14,0.12924190486610326 - 1.9664555526037672e-14im,0.9925512954083282 - 2.0241956417621834e-16im
0.35,0.25,48,4,-2.102467348024009,0.8135502230108836,0.8135502230556743,0.3797091713135143 + 5.998343725771345e-12im,-0.9733633563063991 - 1.0221196441195788e-16im
0.35,0.31,48,4,-2.122135303199101,1.236591310403854,1.236591310447785,0.3685795692987606 - 7.550890611302059e-13im,0.974220028591575 + 8.038900398121737e-17im
0.35,0.325,48,4,-2.128171462154392,1.4579323046735904,1.4579323046795103,0.3640863647114144 + 2.5006252456947944e-13im,0.9745633827397329 - 1.9103530223577277e-16im
0.35,0.335,48,4,-2.132527444147667,1.6664652319227773,1.6664652319072768,0.3599573813668255 - 6.053856199104099e-13im,0.9748491324514788 + 8.009641064294832e-16im
0.35,0.33,48,4,-2.1303136806494676,1.557448346668124,1.5574483466588425,0.36095244214380373 + 5.950204380381343e-12im,0.9746948286734125 - 4.641987569084622e-16im
0.35,0.34,48,4,-2.1337847592909913,2.329088443230771,2.3290884429195993,0.9706588719764336 - 1.2333106393882303e-16im,-0.7501973527689949 + 3.643041416477911e-16im
0.35,0.34,48,6,-2.138456257532486,1.2291781478249326,1.22917814787093,0.9740940760481782 - 5.984046759587568e-16im,0.5153205546241885 - 7.115129221810341e-17im
0.35,0.35,48,4,-2.1412522719649374,1.089340556866606,1.0893405568678518,0.32369482215907025 - 1.662931059558372e-12im,0.9771073655107986 + 1.5459391030445818e-16im
0.35,0.36,48,4,-2.142884193421311,0.777058231968091,0.7770582319671213,0.9633666691157868 + 6.384716018318352e-16im,0.5234715896739215 - 1.2874840890184503e-14im
0.35,0.38,48,4,-2.1385339270828587,4.270730745954224,4.270730744249988,0.9791617007994656 + 2.920891764388016e-16im,0.8257256497426051 + 3.695662827548623e-16im
0.35,0.39,48,4,-2.141820244281863,4.205432028950139,4.2054320273075785,0.9778683553717621 + 1.3851112658712857e-15im,0.822992380555337 - 1.2636776985412446e-15im
0.35,0.3,48,4,-2.1189070000828134,2.789440471314675,2.78944047132061,0.9828114529954953 + 3.201404450919091e-15im,-0.7711968184412687 - 3.177419089862141e-17im
0.35,0.5,48,4,-2.311452884357061,2.2517998136852475e15,1.286742750677284e15,0.2066135236341526 - 1.8849216977196457e-14im,0.9851590956700186 - 7.216917696429649e-16im
0.35,0.6,48,4,-2.4636852128885187,2.6491762513944044e14,2.7294543196184772e14,0.17872175666385975 + 1.2231965586744527e-14im,0.9875084593351661 + 2.236117307098633e-16im
0.35,0.7,48,4,-2.6298375914928025,1.501199875790165e15,1.286742750677284e15,0.16020064750968235 + 3.991396034140987e-14im,0.9891273369506687 + 2.0196701491564178e-16im
0.35,0.7,48,6,-2.629953554520517,0.37568911585559667,0.37568911585487336,0.18793291492317038 - 2.4807507222142188e-15im,0.9889519771022784 + 4.67300138251956e-16im
0.35,0.8,48,4,-2.8044401577958395,4.28914250225761e14,1.1258999068426235e15,0.1475458359940697 + 5.101035098976257e-15im,0.9903411016748549 - 1.194405001452265e-16im
0.35,0.9,48,4,-2.9845817317184413,4.28914250225761e14,9.007199254740988e14,0.13760717491719798 - 5.153189497325645e-15im,0.9912953633185367 + 1.7094806079382245e-16im
0.35,1.0,48,4,-3.168603122599083,2.2517998136852475e15,3.00239975158033e15,-0.13055189631456363 + 2.7394687126702994e-15im,0.9920742275996813 + 7.982827802868284e-17im
0.36,0.1,48,4,-0.9021527152675417,17.54890188369623,20.95777165109093,-0.32897161595966823 - 0.0715759485130515im,-0.9812109409006472 - 3.8588621459106016e-5im
0.36,0.25,48,4,-2.1063422688616407,3.30869160153404,3.3086916029301787,0.9956795547935169 + 7.926182117305273e-16im,-0.7728209097501209 - 1.8385436654705983e-15im
0.36,0.2,48,4,-2.0950825437367344,4.503599627370496e15,2.6491762513944044e14,0.4113153734034541 - 7.566099453257627e-13im,0.9698634096765467 - 7.618953304261149e-16im
0.36,0.31,48,4,-2.1262608539602885,4.353366421726493,4.353366423043858,0.9870064982914121 - 1.1448660495462187e-15im,0.8271682148560955 - 8.888297638621322e-16im
0.36,0.325,48,4,-2.135498902188368,0.6398823873911017,0.6398823873933761,0.979534125115678 - 4.833617412047311e-16im,0.2958191169459782 + 1.4198810241541215e-14im
0.36,0.32,48,4,-2.1336800333096444,0.6347859673611914,0.6347859673720322,0.9806269788300136 - 9.501573663913213e-17im,0.2788635437930234 - 1.2596309001275646e-14im
0.36,0.335,48,4,-2.1371183920614127,1.6456944078446807,1.6456944078697984,0.3844140783994852 - 7.603795004871087e-12im,-0.9720908516388899 - 5.286550165540938e-16im
0.36,0.33,48,4,-2.134918619758897,1.5334054790344935,1.533405478993422,0.3865225500585244 - 4.066451413999045e-13im,-0.9719157665993788 - 2.827752728259723e-16im
0.36,0.34,48,4,-2.1396141901339853,1.3548800436560766,1.3548800436488988,0.3680636154429762 - 1.002450360889044e-12im,0.9731832022281561 + 4.661881617484005e-16im
0.36,0.35,48,4,-2.145444642281491,0.660882409131405,0.6608824091311915,0.9719857505022106 + 5.614756887362652e-16im,0.40639416490400737 - 3.8163258078110406e-14im
0.36,0.36,48,4,-2.152714148060798,0.9398976215460376,0.9398976212674227,0.32771449879614073 + 2.3674626729812007e-12im,0.9758916223414715 - 1.3104635545584066e-16im
0.36,0.37,48,4,-2.160740996927488,0.8415926791869996,0.8415926790608976,0.31260930541710225 + 5.098347864542901e-12im,0.9769235730823042 + 1.680305682263146e-16im
0.36,0.38,48,4,-2.14715469493906,3.9937519149355833,3.9937519172967813,0.9794777472721636 + 2.270674432412927e-15im,0.8124804419513202 + 8.81352579189667e-16im
0.36,0.39,48,4,-2.179107143773216,0.7088246277650238,0.7088246277876981,0.2882220765556758 + 3.154771085099907e-13im,0.978615529482977 - 5.109155090628528e-16im
0.36,0.3,48,4,-2.1167604216042712,7.1160528997730506,7.116052895254135,0.9827995153117701 - 1.0685704646883996e-15im,-0.8215981960775998 - 1.2567774880466569e-15im
0.36,0.4,48,4,-2.1892635920372077,0.6661636654076222,0.666163665413247,0.2783068153720681 + 1.237336184668897e-14im,0.9793298166950742 - 1.6989766239225934e-16im
0.36,0.5,48,4,-2.3144655293042637,1.2166829119075169,1.2166829119331868,0.5486513879458667 - 3.4341088799900124e-16im,0.9837133659269998 - 2.196619895265354e-16im
0.36,0.6,48,4,-2.4668799562017063,5.003999585967213e14,9.007199254740992e15,-0.18605672109608937 - 3.596043994958774e-14im,0.9866001294751702 - 3.732423411647326e-16im
0.36,0.7,48,4,-2.63281573922893,5.298352502788813e14,4.503599627370496e15,0.16658725201237298 - 4.049579441367888e-15im,0.9883799144037045 + 1.3155480109625738e-16im
0.36,0.8,48,4,-2.807253217153611,1.8764998447377016e14,2.814749767106555e14,0.15309300907833356 - 9.509137190126449e-15im,0.9897016548325587 - 5.213909682569259e-17im
0.36,0.9,48,4,-2.9871748142467767,0.40431375038994727,0.4043137503900223,0.162960584678656 - 2.688133309325534e-15im,0.9907104107092838 - 1.0922300628338753e-16im
0.36,1.0,48,4,-3.1711665870659385,0.6385774365138852,0.6385774365059877,0.14783821605497408 + 1.7793373214632324e-15im,0.9915347387584559 + 5.23288467592275e-16im
0.37,0.25,48,4,-2.1220208278754513,4.343544486635693,4.343544483590668,0.9920898967515962 - 5.242242534073941e-16im,-0.792082672400644 - 7.973740785293776e-16im
0.37,0.2,48,4,-2.1062683166823306,4.070053621946957,4.070053624203018,0.9960715405454985 - 6.55710723466317e-16im,0.7961878602883053 - 9.275725180524182e-17im
0.37,0.31,48,4,-2.131709513351961,1.2133297049384135,1.2133297049374365,0.42053818855386105 + 2.09190501183187e-12im,0.968052211418058 - 3.187858077349217e-16im
0.37,0.325,48,4,-2.1376705755345937,1.4130466767177088,1.4130466767200043,0.41533429554526885 + 6.335783657306727e-12im,0.9685107958649005 - 6.871010103746205e-16im
0.37,0.335,48,4,-2.14238447493471,3.9152115580122238,3.915211556367798,0.9848955494699644 - 2.579870354722079e-15im,0.8093178424972292 + 7.060096863078697e-16im
0.37,0.33,48,4,-2.1397814079748563,1.512502942868011,1.5125029428345895,0.41304332495760426 + 5.063041124066127e-12im,0.9687187769084666 + 2.332860587225117e-16im
0.37,0.34,48,4,-2.1438591235999196,3.89379536192983,3.8937953605679896,0.9843992134670044 - 5.168613986723309e-16im,0.8083691286827139 - 7.754204560396698e-16im
0.37,0.35,48,4,-2.1489963667280407,2.1571732732038122,2.1571732731461926,0.4015111718347289 + 2.1531947857695365e-13im,0.9697134988622276 + 2.781215608934283e-16im
0.37,0.36,48,4,-2.157876270986807,1.8546113515088896,1.8546113513925442,0.9666269671798444 + 2.1966114774037824e-16im,-0.6688285945200089 - 5.566066203958069e-16im
0.37,0.39,48,4,-2.1832983092531633,0.7116937866556405,0.7116937866529641,0.3058679209936641 + 1.2265952740217312e-12im,0.9765820245970696 + 3.923749934009929e-16im
0.37,0.3,48,4,-2.1354383642095582,0.7023785054537975,0.7023785054531272,0.9849751750761417 + 5.35643865555274e-16im,0.2282776059655878 + 3.3830184481056473e-15im
0.37,0.6,48,4,-2.470182885953254,3.00239975158033e15,1.501199875790165e15,0.19395887996751154 + 1.2413230618937396e-12im,0.9856519433153875 + 4.8309086942672125e-17im
0.37,0.7,48,4,-2.6358799196121554,1.000799917193443e15,2.2517998136852475e15,0.17301132134076205 + 1.6392206701939506e-14im,0.9875905691839204 + 9.711923658902889e-17im
0.37,0.8,48,4,-2.810144697952962,1.286742750677284e15,1.8014398509481978e15,0.15811733921176196 + 6.63043805898128e-17im,0.9890247462002724 - 1.236305069814889e-15im
0.37,0.8,48,6,-2.8102638301741987,0.32230902978249426,0.3223090297828119,0.18803403719557013 + 2.8762388882367e-16im,0.9888777189746752 - 4.956587063823674e-16im
0.37,0.9,48,4,-2.9900172104283134,1.000799917193443e15,3.00239975158033e15,0.14828079664559948 + 8.923004797710855e-15im,0.9901359000615508 + 4.5444303366361294e-17im
0.37,1.0,48,4,-3.1737905046462402,1.8764998447377016e14,7.505999378950821e14,0.13930387709943484 + 1.6363074199398564e-14im,0.9910433065698727 - 8.035411945789619e-16im
0.38,0.1,48,4,-2.107135225862469,2.295106119353377,2.2951061194428464,0.9988769389732979 + 8.634904996425e-16im,-0.7009008848047765 + 2.5497883982526565e-16im
