hx,hz,chi,D,ξv,ξh,ξ_vumps
0.0,0.25,16,4,0.8441055752941673,0.8441055752941378,0.8441055763122642
0.0,0.25,24,4,0.8520192029541881,0.8520192029177767,0.8520179886954116
0.0,0.25,36,4,0.8467868797831417,0.8467868798850964,0.8467868713785102
0.0,0.26,16,4,0.8880605285217154,0.8880605285216823,0.8880605292787944
0.0,0.26,24,4,0.8962816471661138,0.8962816469014168,0.8962816921072031
0.0,0.26,36,4,8.188362958855442e14,1.501199875790165e15,0.9142329384013377
0.0,0.27,16,4,0.9563236190774943,0.9563236190774372,0.9563236193055368
0.0,0.27,24,4,0.9568081685362101,0.9568081684411893,0.9568081689863425
0.0,0.27,36,4,0.9591731256784901,0.9591731255091931,0.9591733441345505
0.0,0.28,16,4,4.139164135397789,4.139164139224472,4.054308538474751
0.0,0.28,24,4,0.8381465247214464,0.8379137706852492,0.8381465247264368
0.0,0.28,36,4,1.0417690626261091,1.041769076974656,1.0417460686395419
0.0,0.29,16,4,1.1059332681760632,1.1059332681763296,1.1059332688096888
0.0,0.29,24,4,1.11944455183082,1.1194445518339617,1.1194445519585932
0.0,0.31,16,4,1.501199875790165e15,1.1258999068426235e15,3.105930777496889e14
0.0,0.31,24,4,1.357638271397545,1.357638271363409,1.3576382711683268
0.0,0.31,36,4,5.298352502788813e14,6.526955981696321e13,1.3670008723818177
0.0,0.32,16,4,3.97687441604325,3.976874414913211,3.894579662264524
0.0,0.32,24,4,1.5309010860047456,1.5309010860037828,1.5309010860708685
0.0,0.32,36,4,7.0780468438167325,7.078046847685517,7.078044765219358
0.0,0.33,16,4,1.793130466364192,1.7931304663649354,1.793130466387092
0.0,0.33,24,4,0.647685405101647,0.64768540510165,0.6476854050688613
0.0,0.33,36,4,0.9265998214015352,0.9265998213969023,0.9265998224729509
0.0,0.34,16,4,2.2481631997593876,2.2481631996752744,2.2481631997097953
0.0,0.34,24,4,2.2672105841983474,2.2672105841587054,2.2672105841229286
0.0,0.34,36,4,3.00239975158033e15,5.629499534213115e14,0.8917766919049439
0.0,0.35,16,4,3.6777514164134293,3.677751416483124,3.677751416967434
0.0,0.35,24,4,3.810644220370582,3.8106442203418913,3.8106442207874283
0.0,0.35,36,4,3.260860669925992,3.260860669963142,3.2608606701403375
0.0,0.36,16,4,5.809222350682515e11,9.425700350289048e11,3.784537501991963e13
0.0,0.36,24,4,0.8220654890270866,0.82206548884077,0.8220672151237312
0.0,0.37,16,4,0.7585230628163738,0.7585230628163364,0.7585230629332484
0.0,0.37,24,4,3.01627461480345e11,4.488115628447335e11,2.2517998136852475e15
0.0,0.37,36,4,2.2517998136852475e15,-Inf,0.7660000067008363
0.0,0.38,16,4,0.6947701576176495,0.6947701576175912,0.6947701576081567
0.0,0.38,24,4,6.004799503160656e14,9.007199254740988e14,1.0852047294868616e14
0.0,0.38,36,4,3.3359997239781406e14,4.094181479427718e14,0.6999682170779633
0.0,0.39,16,4,0.6484034861789525,0.6484034861805766,0.6484034490281481
0.0,0.39,24,4,9.007199254740992e15,4.28914250225761e14,1.0015890143403436
0.0,0.39,36,4,2.2517998136852475e15,5.298352502788813e14,0.644623157443993
0.0,0.41,16,4,0.5827604091140732,0.582760409113869,0.5827604090519336
0.0,0.41,24,4,5.62949953421307e13,1.286742750677284e15,6.2118615549937375e13
0.0,0.42,16,4,250.0191746242967,27724.342503914282,1.2431728748086759
0.0,0.42,24,4,3.116677942816902e13,1.344358097722531e14,1.0722856255643988e14
0.0,0.42,36,4,1.501199875790165e15,2.814749767106555e14,0.5546428346608464
0.0,0.43,16,4,0.9016614598947276,0.9017539454592782,0.9017539454596876
0.0,0.43,24,4,0.5482812442170014,0.54828124389465,0.5482807585085278
0.0,0.43,36,4,8.188362958855442e14,9.007199254740988e14,0.5529110510165772
0.0,0.44,16,4,3.602879701896392e14,8.188362958855442e14,1.7321537028348012e14
0.0,0.44,24,4,0.5047071261582594,0.5047071274535647,0.5047076312111399
0.0,0.44,36,4,1.9580867945089062e14,5.298352502788813e14,7.698460901487978e13
0.0,0.45,16,4,0.4755438654464453,0.47554386544515026,0.47554383333315065
0.0,0.45,36,4,1.286742750677284e15,4.503599627370496e15,0.4841594810010781
0.1,0.1,36,4,0.3792487989955546,0.37924879947706736,0.37924862916588226
0.1,0.25,16,4,0.8430875091214738,0.8430875091214268,0.843087509091934
0.1,0.26,16,4,0.8877112215689555,0.8877112215688793,0.8877112214389219
0.1,0.27,16,4,0.9449922850269037,0.9449922850269965,0.9449922846284825
0.1,0.28,16,4,1.0128640532385518,1.0128640532385398,1.0128640526094075
0.1,0.29,16,4,1.1101182717434281,1.1101182717434088,1.1101182704711765
0.1,0.2,36,4,2.3703155933528878e14,1.1258999068426235e15,0.6559864034252927
0.1,0.2,48,4,7.111414576201397,7.111414580063243,7.11141437547285
0.1,0.31,16,4,1.322817246911391,1.3228172469113129,1.322817246929602
0.1,0.32,16,4,1.5016341887625804,1.5016341887623954,1.5016341887708442
0.1,0.32,36,4,1.5386375902463592,1.538637590277505,1.5386375894511535
0.1,0.33,16,4,1.3414097347013823,1.34140973470279,1.3414094972293273
0.1,0.33,36,4,1.806763386662374,1.8067633867853832,1.8067633362649151
0.1,0.34,16,4,1.0896174556572815,1.089617455656858,1.0896174557671972
0.1,0.34,36,4,1.1003677162426861,1.1003677162514764,1.1003677984800229
0.1,0.35,16,4,0.9522409737528643,0.9522409737526526,0.9522409738401357
0.1,0.36,16,4,0.8493900555898188,0.8493900555898968,0.84939002861346
0.1,0.37,16,4,0.774222196003769,0.7742221960035374,0.7742221984584433
0.1,0.38,16,4,0.7333699189296513,0.733369918929649,0.7333699202967067
0.1,0.39,16,4,0.6767832530755795,0.6767832530756545,0.6767831760953736
