file,hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
final_Psi_trivial_1e4_hx=0.32_hz=0.5_χ=36_D=4,0.32,0.5,36,4,-2.301765258442463,3.752999689475408e14,9.007199254740988e14,0.17958403285481234 - 7.418049595734999e-15im,0.9882123306407523 - 1.4851625152820948e-16im
final_Psi_trivial_1e4_hx=0.32_hz=1.0_χ=36_D=4,0.32,1.0,36,4,-3.1614390377220096,5.003999585967213e14,1.8014398509481978e15,0.11727621842190387 + 9.435096737195236e-16im,0.9934738852110233 - 4.969355200305616e-17im
final_Psi_trivial_1e4_hx=0.33_hz=0.1_χ=36_D=4,0.33,0.1,36,4,-2.0660356231806682,0.45491271257255794,0.45491271264789696,0.34337988871591846 + 7.140037504078252e-12im,-0.9777030413059663 + 1.0422986330585e-16im
final_Psi_trivial_1e4_hx=0.33_hz=0.2_χ=36_D=4,0.33,0.2,36,4,-2.081447335897009,2.814749767106555e14,3.602879701896392e14,-0.33526314099260074 - 1.991811622982125e-13im,0.9780144059003705 - 1.373280134406659e-16im
final_Psi_trivial_1e4_hx=0.33_hz=0.32_χ=36_D=4,0.33,0.32,36,4,-2.1175272028364054,1.3987094375143618,1.3987094375007876,0.31964611236881485 - 1.5381438748870193e-13im,0.9791014967132007 + 9.217107603729474e-17im
final_Psi_trivial_1e4_hx=0.33_hz=0.34_χ=36_D=4,0.33,0.34,36,4,-2.1120503879681936,5.249919154255267,5.249919156635295,0.9826136678036723 - 1.4473876123037206e-15im,0.8692217604901031 - 2.3157450897236114e-15im
final_Psi_trivial_1e4_hx=0.33_hz=0.3_χ=36_D=4,0.33,0.3,36,4,-2.1097510368027717,1.1473310210566874,1.1473310210400571,0.3239998851787961 + 4.570907232473763e-13im,0.9788016560544625 + 4.29284755637618e-16im
final_Psi_trivial_1e4_hx=0.33_hz=1.0_χ=36_D=4,0.33,1.0,36,4,-3.163751126852666,1.501199875790165e15,6.433713753386418e14,0.1217343164235024 - 4.8063694221476795e-15im,0.993027883090652 + 7.554050778815717e-16im
final_Psi_trivial_1e4_hx=0.34_hz=0.1_χ=36_D=4,0.34,0.1,36,4,-2.070378072846952,0.4827223492802751,0.48272234934677233,0.3659681811183824 + 1.49951865935095e-11im,-0.9752832456394027 + 9.603282700460355e-17im
final_Psi_trivial_1e4_hx=0.34_hz=0.2_χ=36_D=4,0.34,0.2,36,4,-2.08575580720329,0.6329598040178677,0.6329598040128028,0.3609652991984212 - 9.85798634046405e-13im,0.9756419580804112 + 4.6541257170791e-16im
final_Psi_trivial_1e4_hx=0.34_hz=0.32_χ=36_D=4,0.34,0.32,36,4,-2.12169978538949,1.3954261153276615,1.395426115345931,0.3400701212887305 - 2.4558109620052987e-14im,0.9769102659096959 + 5.147603344264753e-16im
final_Psi_trivial_1e4_hx=0.34_hz=0.33_χ=36_D=4,0.34,0.33,36,4,-2.125944938407342,1.5723662655926844,1.57236626554942,0.33715864693190645 - 1.2963195291751897e-13im,0.9771278922649833 - 4.638114217231269e-17im
final_Psi_trivial_1e4_hx=0.34_hz=0.34_χ=36_D=4,0.34,0.34,36,4,-2.1274832815028795,2.7058628458022436,2.7058628457813168,0.9667507762064919 + 1.0783196231596603e-15im,-0.7910800828635661 + 1.5889760392134185e-15im
